model_name,version,train_accuracy,train_f1_macro,val_accuracy,val_f1_macro,test_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro,test_roc_auc_ovr,training_time_seconds,meets_target
sgd,1.0.1,0.9985034420832086,0.9827051396659336,0.9622905027932961,0.708712089570912,0.9693165969316597,0.8311098584550742,0.9652189523349843,0.8592133021678985,0.8231630129490052,0.0,1.455288,True
random_forest,1.0.1,0.9221789883268483,0.7834894372069454,0.8715083798882681,0.5484793692962315,0.8967921896792189,0.6883368012334894,0.9049003435825705,0.6544981992695738,0.7987798355989018,0.0,1.51718,False
